,City,Latitude,Temperature,Humidity,Cloud,Wind
263,aswan,34.7,24.84,88,75,7.7
264,kerema,46.3,14.8,88,99,1.79
265,alice springs,29.03,24.05,79,0,4.69
266,hihifo,-7.37,21.56,88,85,0.78
267,guane,38.84,22.18,70,0,1.24
268,amapa,50.83,17.04,93,84,4.3
269,avera,-45.87,9.0,76,0,1.0
270,kitimat,51.52,16.95,60,100,1.71
271,omsukchan,-7.25,28.0,37,0,3.6
272,umzimvubu,14.2,22.95,73,6,0.63
273,saint-augustin,-34.58,17.4,23,0,10.3
274,nadym,12.15,29.0,74,20,8.2
275,hirara,50.68,9.68,89,86,1.85
276,sentyabrskiy,27.97,31.41,43,14,5.85
277,hokitika,38.02,24.2,65,0,0.5
278,marienburg,-20.01,19.22,93,40,0.5
279,harper,69.22,5.0,56,20,3.57
280,bilibino,-2.92,24.46,79,1,3.81
281,yar-sale,11.28,26.25,83,94,7.5
282,faanui,7.14,14.81,80,6,3.59
283,aksu,-10.62,23.06,80,96,4.43
284,saskylakh,17.48,24.38,91,100,1.33
285,ayagoz,58.52,18.0,59,75,3.1
286,tubmanburg,-2.67,27.97,75,22,4.8
287,tuim,-6.02,13.94,82,94,2.18
288,klaksvik,48.95,13.97,63,0,4.1
289,shimoda,-34.48,6.17,90,0,1.66
290,aguai,-39.28,11.83,87,0,1.5
291,jalu,49.96,9.0,93,20,1.0
292,banjar,33.75,32.81,13,0,4.23
293,denia,-25.41,11.33,88,0,0.83
294,buturlinovka,-11.64,17.57,67,11,3.52
295,comodoro rivadavia,-1.2,24.01,92,15,2.04
296,yanan,5.24,22.68,97,82,1.51
297,adamovka,14.9,25.47,76,78,2.6
298,missao velha,-13.19,20.52,83,36,3.45
299,kutum,-20.25,17.95,72,0,3.6
300,flinders,5.97,26.54,81,100,9.41
301,kralendijk,69.3,16.44,56,62,1.79
302,severo-kurilsk,46.54,9.86,94,100,1.94
303,napasar,72.79,3.85,57,21,2.83
304,trapani,-12.05,24.0,41,52,2.68
305,grand gaube,-35.36,16.89,23,0,10.3
306,ilulissat,58.18,12.08,96,100,5.57
307,itarema,16.86,29.0,74,75,3.1
308,bubaque,-7.19,23.51,74,0,3.98
309,ginir,-46.43,9.44,53,100,4.66
310,samarai,64.27,14.29,59,71,1.64
311,dong hoi,33.53,27.0,78,20,2.1
312,high level,-25.17,17.43,90,20,5.28
313,vanimo,37.72,27.67,45,0,5.7
314,kundiawa,29.55,30.63,36,0,1.62
315,saint-pierre,53.14,17.0,77,40,2.0
316,rocha,53.2,21.0,56,75,4.1
317,udagamandalam,-16.52,25.81,70,5,4.48
318,villarrica,9.38,29.0,83,75,3.59
319,oskemen,47.83,5.74,69,49,0.94
320,mandali,-0.8,23.0,83,20,5.1
321,laranjeiras do sul,29.14,22.94,89,0,4.37
322,ibipeba,54.53,11.12,94,100,4.08
323,carutapera,-6.12,24.46,82,96,1.51
324,grand-lahou,6.37,25.0,94,40,6.2
325,sao filipe,37.31,21.4,81,0,3.86
326,ambilobe,70.66,7.0,93,75,7.7
327,praia,70.47,9.0,87,1,7.7
328,weligama,-3.4,20.08,83,100,3.48
329,deputatskiy,55.14,12.91,100,0,1.0
330,svetlaya,61.6,12.85,93,100,4.6
331,upernavik,26.54,28.64,78,100,7.79
332,maningrida,65.96,11.0,100,90,1.0
333,sahrak,50.69,19.68,63,90,2.1
334,ulladulla,7.17,21.55,99,68,1.98
335,motygino,42.49,21.0,77,5,1.13
336,acapulco,14.29,25.2,100,90,5.7
337,gombong,16.89,32.0,55,20,1.5
338,mar del plata,21.68,25.0,73,75,3.6
339,tura,50.12,15.98,100,28,7.7
340,hangu,-37.25,14.68,67,43,10.8
341,beloha,38.52,21.03,83,37,6.97
342,palaia fokaia,20.87,28.13,84,13,8.52
343,sibi,9.56,21.48,54,51,11.83
344,svetlogorsk,-17.65,13.51,85,77,0.35
345,prince albert,22.89,27.39,88,90,5.7
346,vaitape,51.98,15.91,90,97,6.12
347,san antero,48.83,15.31,77,90,3.1
348,altay,-9.05,12.4,57,78,1.48
349,melilla,26.88,26.07,75,0,4.97
350,awjilah,46.39,18.45,79,12,2.42
351,gramoteino,60.15,13.5,93,100,3.6
352,kiunga,-20.73,24.0,17,0,1.5
353,cotonou,10.14,27.03,83,20,2.6
354,aljezur,65.8,13.48,74,91,3.65
355,hammerfest,-2.02,28.55,74,9,6.21
356,clyde river,20.89,27.76,74,40,7.7
357,voi,49.16,18.13,77,75,1.5
358,grand river south east,51.13,16.34,82,0,1.5
359,chekhov,12.18,22.12,90,65,3.95
360,floro,2.04,24.4,84,63,6.44
361,yomitan,-4.97,24.13,88,100,7.14
362,marsh harbour,-24.14,12.89,25,0,3.29
363,kuusamo,-18.65,28.0,78,20,4.1
364,black diamond,-3.17,18.33,57,20,2.05
365,duayaw nkwanta,-21.64,19.0,93,90,3.1
366,nova zagora,27.29,27.53,74,40,5.7
367,ternate,-5.81,29.49,47,65,0.94
368,jizan,10.93,24.51,91,100,2.47
369,guadalupe victoria,59.08,10.84,93,100,2.96
370,penzance,-7.95,23.48,85,89,4.64
371,waiuku,14.69,26.47,88,40,6.83
372,ribeira grande,48.68,12.71,69,0,1.62
373,celestun,-5.81,23.0,83,20,3.6
374,hargeysa,-39.04,11.11,70,100,8.49
375,ilo,60.82,14.0,87,75,1.5
376,cabo san lucas,37.17,27.84,56,87,8.43
377,turki,68.31,6.85,79,0,3.28
378,matane,-23.13,18.0,77,90,4.6
379,caraz,-5.2,23.0,88,0,1.5
380,parvatsar,-7.04,16.06,55,3,1.78
381,tailai,7.32,21.53,95,99,2.1
382,lerwick,-3.28,22.51,84,20,3.08
383,mount isa,39.64,20.23,68,1,3.1
384,siparia,-9.87,26.4,29,4,0.53
385,kuche,42.12,18.72,56,40,2.6
386,turukhansk,31.8,24.21,78,40,2.6
387,villazon,48.94,18.4,82,75,3.1
388,lorengau,65.58,10.12,68,71,3.93
389,kahului,4.89,23.57,89,61,2.12
390,richmond,-36.24,12.0,32,0,4.6
391,nieuwpoort,4.94,25.0,94,0,2.07
392,auki,-33.86,8.0,100,75,1.5
393,mogadishu,61.68,11.46,74,69,1.16
394,micheweni,62.21,13.0,100,100,2.0
395,aranos,9.18,13.0,87,75,3.1
396,neiafu,-19.55,23.0,60,75,7.2
397,gilazi,55.57,14.08,100,0,1.45
398,sola,35.24,26.0,65,0,2.1
399,sao joao da barra,71.03,6.42,93,100,3.11
400,port saint lucie,-14.66,8.83,43,0,2.04
401,manicore,63.05,15.01,47,23,1.59
402,phan thiet,-32.25,16.0,29,0,2.6
403,palana,-30.17,11.17,87,23,2.73
404,bambanglipuro,44.55,19.44,88,9,2.81
405,gat,47.66,20.6,94,90,7.7
406,atasu,7.53,24.94,88,97,3.68
407,natal,55.1,18.0,68,75,3.6
408,wairoa,20.35,28.99,79,0,4.36
409,kushmurun,54.44,13.87,68,32,1.18
410,hay river,32.25,3.15,87,15,0.7
411,sitka,32.42,24.92,94,1,2.04
412,kerki,-9.2,17.03,38,5,1.26
413,kangaatsiaq,-0.49,24.31,79,99,2.18
414,yeppoon,29.75,25.0,83,40,1.5
415,touros,40.29,21.16,28,0,3.8
416,moba,4.42,23.47,90,100,2.65
417,gboko,10.61,26.45,62,20,1.5
418,trairi,37.63,22.6,83,0,1.0
419,connersville,38.06,25.94,73,40,7.7
420,alta floresta,34.72,23.35,78,1,1.5
421,wilbraham,58.97,16.14,81,55,0.84
422,krasnoselkup,45.39,22.13,88,40,1.0
423,chagda,18.53,34.0,52,5,4.33
424,gizo,18.08,27.0,83,0,3.6
425,ucluelet,-37.83,12.0,66,57,6.7
426,lavrentiya,-24.93,15.7,54,0,2.1
427,takoradi,-43.3,12.61,53,100,4.78
428,kadykchan,36.1,24.58,74,75,6.2
429,cooma,5.56,27.88,74,100,5.27
430,cayenne,-30.74,13.19,92,2,1.51
431,ngukurr,57.77,15.88,93,75,2.6
432,esperance,32.95,24.72,77,0,4.78
433,baykit,20.77,27.46,84,100,1.31
434,ardistan,-6.22,27.91,76,100,5.34
435,kondopoga,43.74,17.06,71,0,8.02
436,dire,-34.61,12.16,81,0,4.1
437,isangel,45.03,21.33,65,0,2.77
438,fredericia,-15.51,25.0,65,40,4.6
439,kijang,-38.55,9.44,87,100,1.79
440,mehamn,10.07,16.6,92,100,0.7
441,menongue,-10.99,12.05,52,30,3.27
442,ozgon,-17.83,28.94,58,20,5.1
443,attawapiskat,-41.14,11.65,76,10,7.7
444,beringovskiy,13.8,27.22,85,100,3.62
445,dubbo,68.75,17.37,39,38,1.97
446,cidreira,-26.65,20.0,20,0,1.5
447,manzil jamil,39.62,17.85,93,90,1.5
448,fossano,-15.72,24.0,60,40,4.1
449,palabuhanratu,66.56,10.33,87,100,7.74
450,torbay,60.72,7.0,70,48,0.5
451,bonthe,52.5,16.45,66,67,3.79
452,la ronge,-7.91,25.54,80,96,9.46
453,baracoa,10.52,21.07,97,100,2.15
454,bagdarin,29.06,24.0,83,20,7.2
455,manali,-24.7,14.98,94,51,0.74
456,tuskegee,-39.19,12.37,51,0,4.47
457,bukama,-0.91,18.88,91,99,2.19
458,barawe,-28.58,10.01,88,2,1.09
459,owando,27.66,25.49,76,0,1.59
460,laksar,-17.53,28.94,58,20,5.1
461,yumen,27.97,21.63,81,0,5.75
462,tabou,44.1,18.25,59,1,2.1
463,caraballeda,46.79,25.0,53,0,5.0
464,cartagena,2.29,25.0,94,75,1.5
465,hutchinson,59.06,11.91,86,38,2.5
466,union,-8.26,29.17,30,96,0.86
467,tommot,13.93,25.76,100,90,5.7
468,castiglione delle stiviere,-24.82,15.72,54,0,2.1
469,frontera,67.55,18.2,54,90,2.54
470,nouakchott,-8.9,20.12,96,25,1.81
471,mount gambier,-51.62,5.0,93,20,9.3
472,humaita,40.93,19.09,93,92,2.2
473,rawson,4.87,24.04,91,51,3.54
474,winston-salem,53.61,15.31,87,0,2.6
475,banda aceh,43.05,19.24,77,0,1.0
476,port shepstone,22.42,26.37,83,84,1.74
477,lerum,32.77,25.49,82,0,7.3
478,zaltan,44.0,21.11,57,20,7.2
479,chandbali,28.58,31.31,79,40,2.24
480,mocambique,28.83,26.26,80,11,2.06
481,kieta,33.08,22.57,83,40,5.1
482,goderich,54.13,19.0,59,75,4.1
483,buenos aires,3.17,25.73,94,75,1.5
484,staryy krym,21.35,30.91,59,90,2.1
485,luganville,30.76,30.1,79,40,1.0
486,necochea,-9.08,22.39,39,0,1.26
487,asosa,-6.48,21.62,32,9,1.65
488,likasi,-33.25,10.56,68,85,3.57
489,teahupoo,29.56,31.19,40,0,2.83
490,porirua,45.6,18.36,46,0,3.68
491,sabang,27.91,4.18,91,100,0.72
492,cherskiy,52.47,8.05,93,97,1.1
493,luderitz,9.6,21.32,95,83,2.35
494,tumannyy,25.02,30.43,75,17,4.77
495,vardo,11.94,23.15,90,99,2.51
496,mahajanga,60.4,13.43,87,100,6.2
497,aksarka,-10.07,15.22,92,0,7.11
498,qaqortoq,-14.4,25.76,41,47,0.72
499,bestobe,71.0,7.0,93,75,7.7
500,kilindoni,36.31,29.04,74,75,1.5
501,bure,60.72,11.77,62,90,1.0
502,teguise,40.74,19.52,68,1,1.5
503,iguape,64.73,12.88,71,75,3.0
504,okato,6.12,24.0,100,90,2.1
505,biak,49.2,19.56,88,96,3.52
506,vallenar,-17.57,26.01,29,93,3.32
507,lengshuijiang,9.56,27.93,77,44,1.99
508,tiarei,-30.34,10.31,82,1,2.72
509,guerrero negro,69.65,9.03,87,75,5.7
510,lewiston,0.07,22.43,88,20,5.45
511,aksarayskiy,47.26,22.25,70,45,5.62
512,sibu,49.9,17.0,77,0,3.0
513,kargasok,54.43,11.71,84,3,0.9
514,conceicao do araguaia,58.44,17.47,72,100,6.2
515,svetlyy,-43.25,12.61,53,100,4.78
516,san nicolas,-8.15,28.13,75,85,3.9
517,atocha,-19.28,8.73,76,0,3.1
518,verkhoyansk,22.58,29.88,84,20,3.0
519,sao jose da coroa grande,26.33,27.0,42,0,3.1
520,rio gallegos,46.83,23.46,83,40,6.7
521,hopatcong,21.46,28.59,82,8,10.32
522,axim,58.6,13.98,76,100,2.89
523,higuey,31.35,26.0,78,0,3.1
524,langen,38.18,18.55,82,90,2.97
525,limoux,13.32,28.55,56,93,4.87
526,pinar del rio,0.77,21.83,90,50,1.05
527,darnah,37.73,22.29,88,20,2.1
528,alassio,-2.54,25.95,72,87,0.32
529,dwarka,1.3,31.0,58,20,1.5
530,moradabad,42.43,19.03,84,23,1.76
531,camacha,37.65,23.19,88,20,1.5
532,rab,40.6,18.17,72,1,6.7
533,meadow lake,37.5,20.0,40,0,2.1
534,bintulu,-45.58,6.89,81,90,2.6
535,makakilo city,38.42,18.89,94,71,1.31
536,jiaxing,-13.65,8.62,78,22,2.01
537,bom jesus,-6.29,16.49,76,58,1.86
538,meyungs,34.16,6.31,48,27,2.11
539,kasongo-lunda,30.04,27.48,83,1,3.1
540,mercedes,10.7,24.34,92,97,2.81
541,dajal,61.91,11.7,93,100,4.6
542,carevo,70.63,6.66,91,100,4.11
543,souillac,-38.38,10.84,62,98,4.1
544,gasa,22.54,27.07,94,75,1.0
545,toora-khem,10.57,27.59,78,100,7.69
546,samusu,-29.95,12.0,87,90,2.6
547,ferkessedougou,7.24,24.0,100,75,0.48
548,umm lajj,56.1,10.97,93,13,1.63
549,kangaba,13.18,26.0,88,20,1.5
550,brae,39.28,25.0,73,75,2.1
551,huarmey,10.41,21.74,95,100,4.15
552,diamantino,-25.04,19.0,93,75,2.1
553,havoysund,-18.06,12.73,19,0,2.62
554,oyama,-42.77,13.63,54,100,6.51
555,whitehorse,31.68,28.0,30,0,6.2
556,bluffton,39.73,20.6,28,0,0.92
557,anadyr,28.08,24.96,80,0,1.75
558,hambantota,3.77,25.71,88,75,1.0
559,zachepylivka,-18.47,8.55,48,0,4.45
560,mineiros,33.93,25.5,88,75,2.6
561,concepcion,61.99,12.85,93,100,4.6
562,sao gabriel,39.1,18.44,88,90,2.74
563,tromso,54.9,11.93,90,94,1.24
564,pedernales,-6.44,24.51,59,1,7.76
565,tokmak,46.28,21.52,60,1,3.6
566,novyy yarychiv,38.0,26.34,58,75,2.6
567,gangotri,-30.38,18.52,45,0,6.2
568,sobolevo,63.84,11.0,81,75,3.6
569,akyab,6.81,23.96,94,0,2.1
570,kardla,-1.17,14.64,77,75,1.99
571,trelew,-3.71,27.92,74,20,4.1
